"sample"	"read_file"	"Human"	"Mouse"	"Rat"	"Drosophila"	"Worm"	"Yeast"	"Arabidopsis"	"Ecoli"	"rRNA"	"MT"	"PhiX"	"Lambda"	"Vectors"	"Adapters"
"SRR5468230"	"2"	0.00370094694620188	0.00365442666335856	0.00430571062316503	0.00228983169995451	0.00224848033742712	0.953247115742464	0.00355621717735599	0	0.00167989910267543	0.0000155067609477732	0	0	0.0103585163131125	0
"SRR6080162"	"1"	0.00556117796771511	0.00533572480686179	0.00768544774997745	0.00361226064389423	0.00363230092485897	0.987845569594886	0.00547600677361497	0.000285574003747533	0.00365735127606489	0.0000250503512059239	0.00262026673613964	0	0.0122095411777673	0.00012525175602962
"SRR6080162"	"2"	0.00568141965350354	0.00557620817843866	0.00774556859287167	0.00343189811521158	0.00376757282137096	0.975084920690588	0.00526057375324402	0.000300604214471087	0.00341686790448802	0.0000200402809647391	0.00242988406697462	0	0.0124550346195854	0.000200402809647391
"SRR6357070"	"1"	0.00494618131632895	0.00459360220009369	0.00633131355868176	0.00298181195444678	0.00307751200028206	0.952114719170734	0.00499151291698777	0.0000251842225882329	0.00247812750268212	0.00992762054428142	0.000513758140799952	0	0.00367689649788201	0.0000201473780705863
"SRR6357070"	"2"	0.00425613361741136	0.00404458614767021	0.0052332814538348	0.00242272221298801	0.00253856963689388	0.945158836891864	0.00456338113298781	0.0000251842225882329	0.00255368017044682	0.00981680996489319	0.000443242317552899	0	0.00335957529327027	0.00000503684451764658
"SRR6767450"	"1"	0.00392686448272429	0.00381484616150553	0.00441227720800558	0.0016864980583491	0.00155581001692721	0.97020312655581	0.00214079458329185	0.0000684556407447974	0.0000871253609479239	0.0100505327093498	0.00186074878024495	0	0.00481056457233894	0.0000746788808125062
"SRR6767450"	"2"	0.0042193567659066	0.00421313352583889	0.00517773573633376	0.00202877626207309	0.00197899034153142	0.966525191675794	0.00248929602708354	0.0000746788808125062	0.000043562680473962	0.0100380862292144	0.00166782833814597	0	0.00542044209897441	0.000329831723588569
"SRR7174202"	"1"	0.0495540299475647	0.0448997243094221	0.0694145629493486	0.0184009946483594	0.0135466781988216	0.865414346721444	0.0290772474187794	0.0000378398832369317	0.0434509973512082	0.000686523595870047	0.00285961403319098	0.00109735661387102	0.00304340775177037	0
"SRR7174202"	"2"	0.0467538785880318	0.0426239256176009	0.0665062976377101	0.0216768473971566	0.0132277420401103	0.863868317206336	0.028952916373858	0.0000162170928158279	0.0414995405157036	0.000664900805448943	0.00279474566192767	0.000518946970106492	0.00177306881453052	0
"SRR7363059"	"1"	0.00893425012895568	0.00790761264216425	0.012384753682123	0.00618987284719127	0.00450218097866096	0.990665110851809	0.00930484122174869	0.00015023963221338	0.00430686945678357	0.0000350559141831221	0.00164762796660674	0	0.0108072375438825	0.00164261997886629
"SRR7363059"	"2"	0.00786754874024068	0.00725657423590627	0.0115684516804303	0.00490281999789664	0.00416163781231064	0.984199798678893	0.00817303599240789	0.000120191705770704	0.00437698128514981	0.0000450718896640141	0.00158252412598094	0	0.010992533090279	0.00165764394208763
"SRR8109496"	"1"	0.00564280304360257	0.00538198014736494	0.00685663267609307	0.00395247004298562	0.00356625152355682	0.995009254196991	0.00570299294273433	0.0000401265994211738	0.00150976330322166	0.00260321313744865	0	0	0.00700209159899483	0.00000501582492764673
"SRR8109496"	"2"	0.00418319798965737	0.00377190034559034	0.00506096735199555	0.00246778586440219	0.00177058619945929	0.986728127241447	0.00403272324182797	0.0000351107744935271	0.00216182054381574	0.00252797576353395	0	0	0.0039825649925515	0
"SRR8198059"	"1"	0.0022688598979013	0.00198274260989163	0.00253489877973486	0.00144062564313645	0.00115450835512677	0.835778715885533	0.00125490038600736	0.000230901671025354	0.000160627249408942	0.00476360186528393	0.00374462275184596	0	0.0043319161324974	0.00018070565558506
"SRR8198059"	"2"	0.00272062403686395	0.0024043891395901	0.00289631009090498	0.00130509640144765	0.00117960636284692	0.81076102179009	0.00131011600299168	0.000235921272569383	0.000150588046320883	0.00457285700661081	0.00357395629934896	0	0.00385505398581461	0.000105411632424618
"SRR8761856"	"1"	0.0255185411675071	0.0239997594009083	0.0376337079327526	0.0197692253711742	0.0153582420226364	0.983388637707893	0.0308217461479083	0.0000400998486230714	0.0231326001744343	0.000230574129582661	0.0000601497729346072	0	0.00238594099307275	0.0000100249621557679
"SRR8761856"	"2"	0.0245812072059428	0.0230724504014997	0.0355986406151317	0.0183907930747561	0.0148770438391595	0.979904963358763	0.0292428146083749	0.0000551372918567232	0.0219346171968201	0.000230574129582661	0.00000501248107788393	0	0.00254132790648715	0.0000200499243115357
"SRR9114348"	"1"	0.00496188551649627	0.00420659850743282	0.00602729037034073	0.00241091614813629	0.00355134951281487	0.994768011844501	0.00552209839739101	0.0000400152057781957	0.00250595226185951	0.0000250095036113723	0	0	0.00639743102378904	0.00230587623296853
"SRR9114348"	"2"	0.00476681138832756	0.00444168784137972	0.00643744622956724	0.00247594085752586	0.00387147115904044	0.993987715331826	0.00536203757427823	0.0000100038014445489	0.00254096556691543	0.0000150057021668234	0	0	0.00623737020067626	0.00232588383585763
"SRR9336459"	"1"	0.00443237131865548	0.00450240878870196	0.00465248908165869	0.00270144527322117	0.00243130074589906	0.978623563606529	0.00281150415472278	0.0000500267643189106	0.000340181997368592	0.000115061557933494	0	0	0.00560800028014988	0
"SRR9336459"	"2"	0.00253135427453688	0.00253635695096877	0.00316669418138704	0.00132570925445113	0.00132070657801924	0.97632233244786	0.00197605719059697	0.0000250133821594553	0.000405216790983176	0.0000450240878870196	0	0	0.00393210367546637	0.0000650347936145838
